x,y,error
-78.011108,33.761051,-14.8372142722
-78.00473,33.759499,-14.6106227615
-77.9974191081,34.0639431561,13.8858804361
-78.0003205748,34.0635250369,13.3594703063
-78.002586965,34.0609027241,14.9855502885
-78.0041490771,34.0579348522,15.0683392631
-78.0045098466,34.0549202597,14.6829234473
-78.0052792115,34.0517873963,14.0471940163
-78.0069386176,34.0483147738,13.7494937753
-78.0048563273,34.0457076159,14.0364807622
-78.0049729285,34.0424878617,10.2726864054
-78.0051044651,34.0391118574,7.852909161
-78.0056709341,34.0353927928,9.1303691457
-78.0058681754,34.0321893116,5.6180221267
-78.0078798495,34.029667267,4.7918363979
-78.0075796466,34.0260402835,6.2901256919
-78.0077006567,34.022082002,10.7586299798
-78.0078901498,34.0184458698,11.9297377542
-78.0114715408,34.016702403,11.7269905598
-78.0149783754,34.0142804598,11.4895484862
-78.0157799006,34.0103393067,10.3757264244
-78.0194357447,34.009877876,10.9281150627
-78.020720835,34.0063349181,12.1078779548
-78.0213988842,34.0023972935,11.7734216053
-78.0220985734,33.9987742522,11.6239762809
-78.0255832488,33.9972716833,10.7094459086
-78.0284747489,33.9946715607,10.3409147928
-78.0301584754,33.9915613774,11.2670659347
-78.0338164018,33.9907673157,11.8920645584
-78.0376125101,33.9894405329,12.5362863955
-78.0418266432,33.9885367044,12.4223903102
-78.0460218673,33.9878315993,12.3892593448
-78.0499485574,33.9860117412,12.9550750685
-78.0540587431,33.9851005652,13.2627649335
-78.058158,33.983968,13.6891853643
-78.062399,33.982889,14.1804779463
-78.066794,33.981711,14.475969538
-78.071355,33.98042,15.1984263423
-78.076065,33.979479,15.4042649592
-78.08107,33.97869,15.4654211382
-78.086103,33.97723,15.7991117617
-78.091389,33.976181,15.9603282363
-78.096523,33.975847,15.9543514837
-78.101383,33.975073,15.7174254484
-78.106152,33.974146,14.9563115071
-78.110819,33.97314,14.904931731
-78.115399,33.97205,14.800796818
-78.119866,33.970874,14.8091436366
-78.124235,33.969643,14.9057193351
-78.126966,33.974115,13.4442651165
-78.129577,33.979046,12.5531459843
-78.108894,33.812874,-14.0640438284
-78.101662,33.813583,-13.4527568723
-78.097443,33.808186,-13.5784691848
-78.09285,33.803276,-13.9662960435
-78.087898,33.798382,-14.5119440781
-78.080688,33.79908,-14.782174122
-78.073593,33.799892,-14.694371162
-78.067902,33.795216,-14.902013794
-78.061913,33.790356,-14.8889705419
-78.055092,33.791656,-14.5118863753
-78.049759,33.786816,-14.9756809801
-78.044685,33.782017,-15.2217988679
-78.038437,33.782124,-14.9537860356
-78.03521,33.775192,-15.0799611284
-78.028915,33.774555,-14.8468910984
-78.024055,33.768463,-14.9458300888
-78.018471,33.769539,-14.9159739977
-78.012566,33.768501,-14.8674333978
-78.006508,33.765697,-14.2988244152
-78.000633,33.763504,-14.2798494304
-77.998581,33.757496,-14.6329034966
-77.9933678601,34.0664392801,10.1083182262
-77.9944086358,34.0639065431,13.436742757
-77.9961917665,34.0612738826,14.5140517483
-77.9992719005,34.0610659755,14.8512869659
-78.0008192688,34.0582482293,16.3726073508
-78.0012332079,34.0553719603,15.2161212842
-78.0019577429,34.0523971561,14.1706530293
-78.0035268741,34.0491051287,13.4857051948
-78.0015658427,34.0466270616,13.204651938
-78.0017003033,34.0435753161,10.4664732305
-78.0018720082,34.0403662544,6.3660385657
-78.0025999456,34.036769808,6.77986051
-78.0026509259,34.0328970058,4.3416074909
-78.0047585309,34.0293144277,4.1047616091
-78.0041170118,34.026248353,9.2251551646
-78.0045704752,34.0230987705,11.6677428701
-78.0045408422,34.0194512794,12.0436603135
-78.0052102763,34.0159610633,12.2014239656
-78.0084133684,34.0149346213,11.7902653448
-78.0120534203,34.0128479207,11.2811346192
-78.0121708289,34.0092435586,10.266660779
-78.0136290996,34.0060833261,10.7814284707
-78.0169217758,34.006302856,11.5591589386
-78.0177409763,34.0026871583,11.8991617309
-78.0186795415,33.999475011,11.4750717216
-78.0193576099,33.9962963462,11.2534031773
-78.0223917763,33.9954308022,11.6916530084
-78.0251688729,33.9940366897,10.9640897972
-78.0264006792,33.9913579841,10.9570702553
-78.0278282729,33.9888126432,11.0546352014
-78.0307640101,33.9883682997,11.2667082003
-78.0337848453,33.9868515443,11.9722980661
-78.0379148742,33.9855525806,12.8367766991
-78.0425504532,33.9850091624,12.6719643128
-78.0461891788,33.9843348618,12.9638316132
-78.047379522,33.9811072265,12.9579826155
-78.0511510489,33.980688654,13.0792065237
-78.0551162708,33.9797098895,13.0303119375
-78.05916,33.978568,13.7547727967
-78.063355,33.97744,14.7700595068
-78.067721,33.976159,14.8386081257
-78.072361,33.974492,15.0722915925
-78.077513,33.974401,15.4652313738
-78.081916,33.973479,15.3724288344
-78.084972,33.97181,14.8330064306
-78.088012,33.971992,15.3012505406
-78.090819,33.970524,15.2862042417
-78.09435,33.971057,15.2188992822
-78.09869,33.970469,14.9626948661
-78.103284,33.96965,14.8019388035
-78.107945,33.968604,15.0412444891
-78.112555,33.967624,15.1892573608
-78.117082,33.966524,15.140090382
-78.12149,33.965333,15.366475033
-78.125831,33.964107,15.6105427336
-78.128543,33.968225,15.1936371592
-78.131148,33.972977,13.62550926
-78.113113,33.817661,-14.7004514789
-78.106575,33.818226,-14.1148854579
-78.100853,33.819977,-13.7170500808
-78.096947,33.816723,-13.4654384282
-78.094276,33.812672,-13.6012052997
-78.090218,33.808376,-13.7888742609
-78.085724,33.803745,-14.3505497594
-78.078804,33.804401,-14.4560832238
-78.072182,33.805206,-14.3614109599
-78.066833,33.800758,-14.5500333144
-78.060989,33.796272,-14.3841672599
-78.054787,33.797802,-13.4339879244
-78.048683,33.793346,-13.4577324835
-78.043877,33.787788,-14.7738245659
-78.038933,33.78896,-14.6211837655
-78.034134,33.78812,-14.4358021606
-78.031502,33.781994,-14.5966539615
-78.026047,33.779251,-14.5307707767
-78.022461,33.774376,-14.7459963956
-78.01609,33.774818,-14.6641757394
-78.010117,33.775738,-14.5032344609
-78.006844,33.771503,-14.2345139478
-78.001579,33.769695,-13.6838891646
-77.99633,33.766701,-14.0509671299
-77.99498,33.760883,-14.5541204495
-77.992218,33.755405,-14.2836940633
-77.985924,33.755005,-13.823168761
-77.9904819058,34.0662818603,6.7548947218
-77.9915189844,34.0639035676,10.256303958
-77.9932523811,34.0614017379,13.4675835291
-77.9946596815,34.0588232712,13.7070597533
-77.9976517088,34.0585424031,15.3557400159
-77.9981171058,34.0558015301,14.2678453003
